,iphone Model,Rate
0,"APPLE iPhone 11 (White, 64 GB)","₹46,900"
1,"APPLE iPhone 11 (White, 128 GB)","₹51,900"
2,"APPLE iPhone 11 (Purple, 128 GB)","₹51,900"
3,"APPLE iPhone 11 (Purple, 64 GB)","₹46,900"
4,"APPLE iPhone 13 (Midnight, 128 GB)","₹74,900"
5,"APPLE iPhone 13 (Pink, 128 GB)","₹74,900"
6,"APPLE iPhone SE (Red, 128 GB)","₹35,499"
7,"APPLE iPhone 11 (Black, 128 GB)","₹51,900"
8,"APPLE iPhone 12 (Green, 128 GB)","₹64,909"
9,"APPLE iPhone 11 (Black, 64 GB)","₹46,900"
10,"APPLE iPhone 13 ((PRODUCT)RED, 128 GB)","₹74,900"
11,"APPLE iPhone 12 Mini (Red, 64 GB)","₹49,999"
12,"APPLE iPhone 13 (Starlight, 128 GB)","₹74,900"
13,"APPLE iPhone 13 (Blue, 128 GB)","₹74,900"
14,"APPLE iPhone SE (Red, 64 GB)","₹30,499"
15,"APPLE iPhone 11 (Red, 128 GB)","₹51,900"
16,"APPLE iPhone 11 (Red, 64 GB)","₹46,900"
17,"APPLE iPhone 11 (Green, 128 GB)","₹51,900"
18,"APPLE iPhone 12 (Black, 128 GB)","₹64,909"
19,"APPLE iPhone 13 Mini (Blue, 128 GB)","₹64,999"
20,"APPLE iPhone 12 (White, 128 GB)","₹64,909"
21,"APPLE iPhone 12 (Purple, 128 GB)","₹64,909"
22,"APPLE iPhone 12 (Blue, 128 GB)","₹64,909"
23,"APPLE iPhone 13 Mini (Pink, 128 GB)","₹64,999"
